Threshold,BiMo-0.05,BiMo-0.1,BiMo-0.15,BiMo-0.2,BiMo-0.25,BiMo-0.3,BiMo-0.35,BiMo-0.4,BiMo-0.45,BiMo-0.5,BiMo-0.55,BiMo-0.6,BiMo-0.65,BiMo-0.7,BiMo-0.75,BiMo-0.8,BiMo-0.9,BiMo-0.95,BiMo-1.0,BiMo-0.85
top-12,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0,0.166666672
top-13,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166666672,0.166666672,0.166666672,0.166666672,0.166666672,0,0.166666672
top-14,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166666672,0.166666672,0.166666672,0.166666672,0,0.166666672
top-15,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166666672,0.166666672,0.166666672,0,0.25
top-16,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166666672,0.166666672,0,0.25
top-17,0.333333343,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166666672,0,0.25
top-18,0.333333343,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.166666672,0,0.25
top-19,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25
top-20,0.416666657,0.416666657,0.416666657,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25
top-21,0.416666657,0.416666657,0.416666657,0.416666657,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25
top-22,0.416666657,0.416666657,0.416666657,0.416666657,0.416666657,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.333333343,0.25,0.25,0.25,0.25,0.25,0.25,0,0.25
